experiment,sector,n_sector,n_correct,accuracy,n_others,acc_others,fisher_p,significant,holm_alpha,significant_corrected
GPT-xgb-inject,Information Technology,14,7,0.5,86,0.5116,1.0,False,0.0125,False
GPT-xgb-inject,Real Estate,6,3,0.5,94,0.5106,1.0,False,0.016667,False
GPT-xgb-inject,Energy,4,2,0.5,96,0.5104,1.0,False,0.025,False
GPT-xgb-inject,Communication Services,4,2,0.5,96,0.5104,1.0,False,0.05,False
GPT-zero,Energy,4,0,0.0,96,0.5312,0.054033,False,0.004545,False
GPT-zero,Industrials,16,10,0.625,84,0.4881,0.415722,False,0.005,False
GPT-zero,Materials,6,2,0.3333,94,0.5213,0.4316,False,0.005556,False
GPT-zero,Consumer Discretionary,10,4,0.4,90,0.5222,0.520797,False,0.00625,False
GPT-zero,Communication Services,4,3,0.75,96,0.5,0.617619,False,0.007143,False
GPT-zero,Financials,14,8,0.5714,86,0.5,0.77493,False,0.008333,False
GPT-zero,Information Technology,14,7,0.5,86,0.5116,1.0,False,0.01,False
GPT-zero,Health Care,13,7,0.5385,87,0.5057,1.0,False,0.0125,False
GPT-zero,Utilities,6,3,0.5,94,0.5106,1.0,False,0.016667,False
GPT-zero,Real Estate,6,3,0.5,94,0.5106,1.0,False,0.025,False
GPT-zero,Consumer Staples,7,4,0.5714,93,0.5054,1.0,False,0.05,False
GPT-zero-CoT,Materials,6,1,0.1667,94,0.4468,0.232623,False,0.004545,False
GPT-zero-CoT,Industrials,16,9,0.5625,84,0.4048,0.278983,False,0.005,False
GPT-zero-CoT,Communication Services,4,3,0.75,96,0.4167,0.311601,False,0.005556,False
GPT-zero-CoT,Consumer Discretionary,10,3,0.3,90,0.4444,0.508453,False,0.00625,False
GPT-zero-CoT,Health Care,13,7,0.5385,87,0.4138,0.549623,False,0.007143,False
GPT-zero-CoT,Financials,14,7,0.5,86,0.4186,0.576033,False,0.008333,False
GPT-zero-CoT,Energy,4,1,0.25,96,0.4375,0.632465,False,0.01,False
GPT-zero-CoT,Utilities,6,2,0.3333,94,0.4362,0.697079,False,0.0125,False
GPT-zero-CoT,Real Estate,6,2,0.3333,94,0.4362,0.697079,False,0.016667,False
GPT-zero-CoT,Information Technology,14,5,0.3571,86,0.4419,0.772017,False,0.025,False
GPT-zero-CoT,Consumer Staples,7,3,0.4286,93,0.4301,1.0,False,0.05,False
