experiment,sector,n_sector,n_correct,accuracy,n_others,acc_others,fisher_p,significant,holm_alpha,significant_corrected
GPT-xgb-inject,Financials,13,8,0.6154,77,0.6753,0.753477,False,0.01,False
GPT-xgb-inject,Consumer Discretionary,9,6,0.6667,81,0.6667,1.0,False,0.0125,False
GPT-xgb-inject,Energy,3,2,0.6667,87,0.6667,1.0,False,0.016667,False
GPT-xgb-inject,Consumer Staples,6,4,0.6667,84,0.6667,1.0,False,0.025,False
GPT-xgb-inject,Communication Services,4,3,0.75,86,0.6628,1.0,False,0.05,False
GPT-zero,Information Technology,14,7,0.5,76,0.7368,0.110716,False,0.004545,False
GPT-zero,Financials,13,11,0.8462,77,0.6753,0.329519,False,0.005,False
GPT-zero,Utilities,3,3,1.0,87,0.6897,0.551149,False,0.005556,False
GPT-zero,Materials,5,3,0.6,85,0.7059,0.634056,False,0.00625,False
GPT-zero,Health Care,12,9,0.75,78,0.6923,1.0,False,0.007143,False
GPT-zero,Consumer Discretionary,9,6,0.6667,81,0.7037,1.0,False,0.008333,False
GPT-zero,Real Estate,5,4,0.8,85,0.6941,1.0,False,0.01,False
GPT-zero,Industrials,16,11,0.6875,74,0.7027,1.0,False,0.0125,False
GPT-zero,Energy,3,2,0.6667,87,0.7011,1.0,False,0.016667,False
GPT-zero,Consumer Staples,6,4,0.6667,84,0.7024,1.0,False,0.025,False
GPT-zero,Communication Services,4,3,0.75,86,0.6977,1.0,False,0.05,False
GPT-zero-CoT,Utilities,3,3,1.0,87,0.6092,0.286891,False,0.004545,False
GPT-zero-CoT,Consumer Discretionary,9,4,0.4444,81,0.642,0.289851,False,0.005,False
GPT-zero-CoT,Financials,13,10,0.7692,77,0.5974,0.355896,False,0.005556,False
GPT-zero-CoT,Information Technology,14,7,0.5,76,0.6447,0.372714,False,0.00625,False
GPT-zero-CoT,Communication Services,4,2,0.5,86,0.6279,0.631151,False,0.007143,False
GPT-zero-CoT,Materials,5,4,0.8,85,0.6118,0.646162,False,0.008333,False
GPT-zero-CoT,Consumer Staples,6,3,0.5,84,0.631,0.669057,False,0.01,False
GPT-zero-CoT,Health Care,12,8,0.6667,78,0.6154,1.0,False,0.0125,False
GPT-zero-CoT,Real Estate,5,3,0.6,85,0.6235,1.0,False,0.016667,False
GPT-zero-CoT,Industrials,16,10,0.625,74,0.6216,1.0,False,0.025,False
GPT-zero-CoT,Energy,3,2,0.6667,87,0.6207,1.0,False,0.05,False
